year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Thriller
2010,13.56,6.32,1.81,19.22,10.0,0.75,23.92,4.48,5.28,14.66
2011,14.75,6.01,2.19,17.57,6.84,0.94,26.65,4.34,4.2,16.52
2012,14.86,4.71,4.58,19.28,7.5,0.51,25.71,4.11,3.69,15.06
2013,13.75,5.55,2.84,14.47,10.93,0.62,29.55,2.72,4.02,15.55
2014,13.05,6.16,3.09,21.15,7.96,0.17,24.91,4.36,4.58,14.58
2015,13.72,7.38,2.68,18.63,8.63,0.12,27.37,3.73,4.79,12.96
2016,14.31,8.41,2.93,14.81,8.54,0.25,28.23,4.5,3.71,14.32
2017,14.08,8.16,3.5,14.61,9.0,0.49,24.84,5.54,4.03,15.75
2018,14.64,8.23,2.77,14.81,9.7,0.57,23.89,3.79,4.4,17.19
2019,13.23,8.76,4.33,16.33,7.24,0.29,21.34,6.37,5.79,16.31
2020,18.46,9.87,4.23,16.15,5.23,0.17,19.38,6.9,6.34,13.26
2021,16.36,8.62,6.67,10.13,7.88,0.27,24.06,5.19,5.52,15.3
2022,13.9,10.24,3.55,13.67,6.87,0.31,19.78,5.2,8.06,18.41
2023,16.53,8.18,4.03,16.76,6.3,0.18,23.65,4.17,4.96,15.24
2024,19.2,6.38,3.87,8.68,8.08,0.36,22.96,4.39,4.4,21.68
평균,14.96,7.53,3.54,15.75,8.05,0.4,24.42,4.65,4.92,15.79
최고점 (Max),19.2,10.24,6.67,21.15,10.93,0.94,29.55,6.9,8.06,21.68
최저점 (Min),13.05,4.71,1.81,8.68,5.23,0.12,19.38,2.72,3.69,12.96
